Ticker,Name,Weight,Shares,Price
6952 JT Equity,Casio Computer Co Ltd,0.170162,1,1347
6501 JT Equity,Hitachi Ltd,0.167206,0.2,6618
8002 JT Equity,Marubeni Corp,0.16713,1,1323
6770 JT Equity,Alps Alpine Co Ltd,0.159298,1,1261
2871 JT Equity,Nichirei Corp,0.159108,0.5,2519
8725 JT Equity,MS&AD Insurance Group Holdings Inc,0.153601,0.3,4053
4751 JT Equity,CyberAgent Inc,0.147044,0.8,1455
6504 JT Equity,Fuji Electric Co Ltd,0.146539,0.2,5800
8630 JT Equity,Sompo Holdings Inc,0.144593,0.2,5723
9104 JT Equity,Mitsui OSK Lines Ltd,0.143823,0.3,3795
6752 JT Equity,Panasonic Holdings Corp,0.140728,1,1114
4506 JT Equity,Sumitomo Pharma Co Ltd,0.139844,1,1107
7911 JT Equity,TOPPAN INC,0.139654,0.5,2211
7752 JT Equity,Ricoh Co Ltd,0.137822,1,1091
9101 JT Equity,Nippon Yusen KK,0.137191,0.1,10860
3405 JT Equity,Kuraray Co Ltd,0.134159,1,1062
2531 JT Equity,Takara Holdings Inc,0.133654,1,1058
9008 JT Equity,Keio Corp,0.133401,0.2,5280
6103 JT Equity,OKUMA Corp,0.133148,0.2,5270
5101 JT Equity,Yokohama Rubber Co Ltd/The,0.13239,0.5,2096
6113 JT Equity,Amada Co Ltd,0.132264,1,1047
6361 JT Equity,Ebara Corp,0.131885,0.2,5220
5301 JT Equity,Tokai Carbon Co Ltd,0.130874,1,1036
3407 JT Equity,Asahi Kasei Corp,0.128664,1,1018.5
3099 JT Equity,Isetan Mitsukoshi Holdings Ltd,0.127716,1,1011
6753 JT Equity,Sharp Corp/Japan,0.127337,1,1008
6473 JT Equity,JTEKT Corp,0.124811,1,988
9107 JT Equity,Kawasaki Kisen Kaisha Ltd,0.122916,0.1,9730
9007 JT Equity,Odakyu Electric Railway Co Ltd,0.122537,0.5,1940
8804 JT Equity,Tokyo Tatemono Co Ltd,0.122347,0.5,1937
5201 JT Equity,AGC Inc,0.121779,0.2,4820
5714 JT Equity,Dowa Holdings Co Ltd,0.120895,0.2,4785
6178 JT Equity,Japan Post Holdings Co Ltd,0.120225,1,951.7
1802 JT Equity,Obayashi Corp,0.118747,1,940
5803 JT Equity,Fujikura Ltd,0.114831,1,909
4042 JT Equity,Tosoh Corp,0.110157,0.5,1744
9005 JT Equity,Tokyu Corp,0.105925,0.5,1677
8355 JT Equity,Shizuoka Bank Ltd/The,0.102451,1,811
1801 JT Equity,Taisei Corp,0.101567,0.2,4020
