Ticker,Name,Weight,Shares,Price
FCX UN Equity,Freeport-McMoRan Inc,0.237007,1443.508,31.4
UNH UN Equity,UnitedHealth Group Inc,0.236463,84.1,537.72
MET UN Equity,MetLife Inc,0.236107,684.88,65.93
LHX UN Equity,L3Harris Technologies Inc,0.235805,192.161,234.68
COF UN Equity,Capital One Financial Corp,0.23295,395.16,112.74
O UN Equity,Realty Income Corp,0.232927,600.916,74.13
EXC UW Equity,Exelon Corp,0.232896,978.258,45.53
CTVA UN Equity,Corteva Inc,0.227268,723.31,60.09
AIG UN Equity,American International Group Inc,0.227249,791.335,54.92
MCK UN Equity,McKesson Corp,0.219063,116.5,359.61
MSI UN Equity,Motorola Solutions Inc,0.217423,164.351,253
PSX UN Equity,Phillips 66,0.215075,480.343,85.63
XEL UW Equity,Xcel Energy Inc,0.213803,544.382,75.11
WMB UN Equity,Williams Cos Inc/The,0.209925,1215.835,33.02
TRV UN Equity,Travelers Cos Inc/The,0.206387,239.2,165.01
AFL UN Equity,Aflac Inc,0.205747,637.626,61.71
DOW UN Equity,Dow Inc,0.205542,727.399,54.04
IBM UN Equity,International Business Machines Corp,0.205235,298.479,131.5
JCI UN Equity,Johnson Controls International plc,0.201383,694.56,55.45
PRU UN Equity,Prudential Financial Inc,0.199092,374.571,101.65
WELL UN Equity,Welltower Inc,0.197618,453.646,83.31
PEP UW Equity,PepsiCo Inc,0.196937,214.068,175.94
DLR UN Equity,Digital Realty Trust Inc,0.196429,283.516,132.5
NUE UN Equity,Nucor Corp,0.196328,265.366,141.49
STZ UN Equity,Constellation Brands Inc,0.195628,154.515,242.13
GPN UN Equity,Global Payments Inc,0.193369,278.889,132.6
ORCL UN Equity,Oracle Corp,0.19178,473.004,77.54
NEM UN Equity,Newmont Corp,0.189749,793.363,45.74
CARR UN Equity,Carrier Global Corp,0.189641,846.189,42.86
KMI UN Equity,Kinder Morgan Inc,0.188164,1983.757,18.14
CTSH UW Equity,Cognizant Technology Solutions Corp,0.187543,519.503,69.04
SYK UN Equity,Stryker Corp,0.187058,163.201,219.2
ILMN UW Equity,Illumina Inc,0.186489,156.907,227.3
TGT UN Equity,Target Corp,0.184291,207.724,169.67
EMR UN Equity,Emerson Electric Co,0.183843,401.632,87.54
ED UN Equity,Consolidated Edison Inc,0.183359,354.242,98.99
EA UW Equity,Electronic Arts Inc,0.17998,262.429,131.16
AJG UN Equity,Arthur J Gallagher & Co,0.178384,183.997,185.41
KDP UW Equity,Keurig Dr Pepper Inc,0.177709,856.068,39.7
AMD UW Equity,Advanced Micro Devices Inc,0.17717,342.077,99.05
ALL UN Equity,Allstate Corp/The,0.177074,273.563,123.79
VICI UN Equity,VICI Properties Inc,0.17476,960.122,34.81
WEC UN Equity,WEC Energy Group Inc,0.173229,315.005,105.17
PEG UN Equity,Public Service Enterprise Group Inc,0.173061,497.024,66.59
MTB UN Equity,M&T Bank Corp,0.172359,178.35,184.82
BK UN Equity,Bank of New York Mellon Corp/The,0.168653,733.212,43.99
BIIB UW Equity,Biogen Inc,0.168187,145.516,221.04
PCAR UW Equity,PACCAR Inc,0.16605,340.548,93.25
KKR UN Equity,KKR & Co Inc,0.165667,570.863,55.5
ES UN Equity,Eversource Energy,0.164845,343.979,91.65
IFF UN Equity,International Flavors & Fragrances Inc,0.163669,254.374,123.05
CMI UN Equity,Cummins Inc,0.163221,140.678,221.89
DD UN Equity,DuPont de Nemours Inc,0.161403,508.189,60.74
KR UN Equity,Kroger Co/The,0.160134,654.513,46.79
DFS UN Equity,Discover Financial Services,0.158162,280.121,107.98
YUM UN Equity,Yum! Brands Inc,0.157612,252.915,119.18
AMT UN Equity,American Tower Corp,0.15687,107.997,277.79
AVB UN Equity,AvalonBay Communities Inc,0.155792,139.408,213.72
OTIS UN Equity,Otis Worldwide Corp,0.154927,370.824,79.9
PH UN Equity,Parker-Hannifin Corp,0.154747,98.75,299.69
AME UN Equity,AMETEK Inc,0.152798,229.983,127.06
EQR UN Equity,Equity Residential,0.151965,369.61,78.63
FRC UN Equity,First Republic Bank/CA,0.151915,178.425,162.83
TROW UW Equity,T Rowe Price Group Inc,0.151684,223.367,129.87
SBAC UW Equity,SBA Communications Corp,0.150543,82.174,350.36
WBA UW Equity,Walgreens Boots Alliance Inc,0.149415,716.158,39.9
AWK UN Equity,American Water Works Co Inc,0.148863,181.599,156.77
ORLY UW Equity,O'Reilly Automotive Inc,0.145292,38.601,719.83
RSG UN Equity,Republic Services Inc,0.144004,192.668,142.94
KHC UW Equity,Kraft Heinz Co/The,0.140918,697.639,38.63
ARE UN Equity,Alexandria Real Estate Equities Inc,0.140813,161.682,166.56
WY UN Equity,Weyerhaeuser Co,0.140178,743.022,36.08
STT UN Equity,State Street Corp,0.138858,366.186,72.52
GLW UN Equity,Corning Inc,0.13646,709.164,36.8
CL UN Equity,Colgate-Palmolive Co,0.133751,318.386,80.34
EIX UN Equity,Edison International,0.133653,375.28,68.11
DTE UN Equity,DTE Energy Co,0.133164,192.552,132.26
BAX UN Equity,Baxter International Inc,0.132833,424.1,59.9
CEG UW Equity,Constellation Energy Corp,0.131439,325.946,77.12
CSGP UW Equity,CoStar Group Inc,0.131342,336.122,74.73
FITB UW Equity,Fifth Third Bancorp,0.128574,680.006,36.16
OKE UN Equity,ONEOK Inc,0.12812,393.546,62.26
DRE UN Equity,Duke Realty Corp,0.127071,382.763,63.49
DLTR UW Equity,Dollar Tree Inc,0.126997,146.336,165.97
AEE UN Equity,Ameren Corp,0.126198,256.889,93.95
EXR UN Equity,Extra Space Storage Inc,0.126004,116.503,206.84
ZBH UN Equity,Zimmer Biomet Holdings Inc,0.125882,209.396,114.97
