Ticker,Name,Weight,Shares,Price
AAPL UW Equity,Apple Inc,6.155355,15276.156,169.24
MSFT UW Equity,Microsoft Corp,5.146284,7475.144,289.16
AMZN UW Equity,Amazon.com Inc,3.016595,8879.48,142.69
TSLA UW Equity,Tesla Inc,1.781008,847.1,883.07
GOOGL UW Equity,Alphabet Inc,1.71261,6009.36,119.7
GOOG UW Equity,Alphabet Inc,1.576486,5488.16,120.65
BRK/B UN Equity,Berkshire Hathaway Inc,1.266364,1802.348,295.11
UNH UN Equity,UnitedHealth Group Inc,1.196319,934.447,537.72
JNJ UN Equity,Johnson & Johnson,1.068358,2629.201,170.67
NVDA UW Equity,NVIDIA Corp,1.036611,2405.877,180.97
META UW Equity,Meta Platforms Inc,0.972639,2290.693,178.34
XOM UN Equity,Exxon Mobil Corp,0.916999,4211.618,91.45
PG UN Equity,Procter & Gamble Co/The,0.831672,2387.655,146.3
V UN Equity,Visa Inc,0.830538,1644.685,212.1
JPM UN Equity,JPMorgan Chase & Co,0.821357,2913.944,118.39
HD UN Equity,Home Depot Inc/The,0.76575,1032.242,311.58
CVX UN Equity,Chevron Corp,0.728351,1963.278,155.82
MA UN Equity,Mastercard Inc,0.72355,859.985,353.38
PFE UN Equity,Pfizer Inc,0.671496,5646.402,49.95
LLY UN Equity,Eli Lilly & Co,0.610485,841.773,304.61
ABBV UN Equity,AbbVie Inc,0.592468,1765.608,140.94
KO UN Equity,Coca-Cola Co/The,0.591119,3900.68,63.65
BAC UN Equity,Bank of America Corp,0.585857,7016.488,35.07
PEP UW Equity,PepsiCo Inc,0.578524,1381.087,175.94
COST UW Equity,Costco Wholesale Corp,0.56847,442.306,539.82
TMO UN Equity,Thermo Fisher Scientific Inc,0.551269,390.885,592.35
MRK UN Equity,Merck & Co Inc,0.536655,2527.221,89.19
AVGO UW Equity,Broadcom Inc,0.522783,398.932,550.41
ADBE UW Equity,Adobe Inc,0.492074,471.437,438.4
DIS UN Equity,Walt Disney Co/The,0.48725,1820.26,112.43
ACN UN Equity,Accenture PLC,0.476969,633.006,316.48
MCD UN Equity,McDonald's Corp,0.459408,738.284,261.36
CSCO UW Equity,Cisco Systems Inc,0.455109,4153.681,46.02
ABT UN Equity,Abbott Laboratories,0.449744,1713.057,110.27
DHR UN Equity,Danaher Corp,0.448269,646.697,291.14
VZ UN Equity,Verizon Communications Inc,0.448265,4198.879,44.84
WMT UN Equity,Walmart Inc,0.442799,1440.156,129.14
CRM UN Equity,Salesforce Inc,0.431742,961.444,188.61
NEE UN Equity,NextEra Energy Inc,0.41925,1961.362,89.78
CMCSA UW Equity,Comcast Corp,0.412082,4442.51,38.96
TXN UW Equity,Texas Instruments Inc,0.40159,921.11,183.12
WFC UN Equity,Wells Fargo & Co,0.399881,3788.756,44.33
QCOM UW Equity,QUALCOMM Inc,0.391751,1119.403,146.99
AMD UW Equity,Advanced Micro Devices Inc,0.380522,1613.575,99.05
BMY UN Equity,Bristol-Myers Squibb Co,0.379208,2127.607,74.86
LIN UN Equity,Linde PLC,0.369723,501.904,309.4
PM UN Equity,Philip Morris International Inc,0.361677,1548.042,98.13
UPS UN Equity,United Parcel Service Inc,0.353835,734.377,202.37
UNP UN Equity,Union Pacific Corp,0.352037,627.166,235.76
INTC UW Equity,Intel Corp,0.344269,4088.153,35.37
RTX UN Equity,Raytheon Technologies Corp,0.330418,1485.552,93.42
NKE UN Equity,NIKE Inc,0.329736,1224.094,113.14
CVS UN Equity,CVS Health Corp,0.32441,1309.532,104.05
AMGN UW Equity,Amgen Inc,0.320173,533.449,252.09
HON UW Equity,Honeywell International Inc,0.319458,680.306,197.23
SPGI UN Equity,S&P Global Inc,0.317645,339.307,393.2
LOW UN Equity,Lowe's Cos Inc,0.316896,660.78,201.43
INTU UW Equity,Intuit Inc,0.313364,275.298,478.09
T UN Equity,AT&T Inc,0.306701,7152.635,18.01
AMT UN Equity,American Tower Corp,0.306556,463.508,277.79
MDT UN Equity,Medtronic PLC,0.299373,1335.254,94.17
COP UN Equity,ConocoPhillips,0.295368,1292.548,95.98
IBM UN Equity,International Business Machines Corp,0.281474,899.035,131.5
ORCL UN Equity,Oracle Corp,0.278986,1511.196,77.54
ELV UN Equity,Elevance Health Inc,0.275968,240.813,481.33
GS UN Equity,Goldman Sachs Group Inc/The,0.275263,332.311,347.91
PYPL UW Equity,PayPal Holdings Inc,0.27236,1156.559,98.91
MS UN Equity,Morgan Stanley,0.269777,1274.722,88.89
BLK UN Equity,BlackRock Inc,0.258827,149.903,725.21
NFLX UW Equity,Netflix Inc,0.254172,437.327,244.11
SCHW UN Equity,Charles Schwab Corp/The,0.252848,1518.438,69.94
ADP UW Equity,Automatic Data Processing Inc,0.250735,417.128,252.47
C UN Equity,Citigroup Inc,0.249413,1969.489,53.19
NOW UN Equity,ServiceNow Inc,0.245829,200.023,516.2
LMT UN Equity,Lockheed Martin Corp,0.242743,237.111,429.99
CAT UN Equity,Caterpillar Inc,0.241938,532.809,190.72
PLD UN Equity,Prologis Inc,0.236104,737.796,134.41
SBUX UW Equity,Starbucks Corp,0.235893,1145.547,86.49
DE UN Equity,Deere & Co,0.234929,280.036,352.36
AXP UN Equity,American Express Co,0.232605,601.437,162.44
AMAT UW Equity,Applied Materials Inc,0.220309,880.846,105.05
BA UN Equity,Boeing Co/The,0.220293,547.427,169.02
ADI UW Equity,Analog Devices Inc,0.217369,521.464,175.08
CI UN Equity,Cigna Corp,0.213256,312.016,287.07
MDLZ UW Equity,Mondelez International Inc,0.211865,1380.276,64.47
TMUS UW Equity,T-Mobile US Inc,0.205233,595.144,144.84
ISRG UW Equity,Intuitive Surgical Inc,0.202431,357.469,237.85
MMC UN Equity,Marsh & McLennan Cos Inc,0.202274,500.694,169.68
MMM UN Equity,3M Co,0.201634,566.938,149.38
DUK UN Equity,Duke Energy Corp,0.201547,769.151,110.06
GE UN Equity,General Electric Co,0.200921,1093.979,77.14
SO UN Equity,Southern Co/The,0.197611,1060.153,78.29
BKNG UW Equity,Booking Holdings Inc,0.195467,40.569,2023.6899
ZTS UN Equity,Zoetis Inc,0.194919,470.349,174.06
MO UN Equity,Altria Group Inc,0.192733,1809.358,44.74
CB UN Equity,Chubb Ltd,0.192138,421.194,191.6
GILD UW Equity,Gilead Sciences Inc,0.188518,1254.043,63.14
TGT UN Equity,Target Corp,0.186889,462.639,169.67
CCI UN Equity,Crown Castle Inc,0.186555,430.999,181.8
SYK UN Equity,Stryker Corp,0.183167,350.971,219.2
VRTX UW Equity,Vertex Pharmaceuticals Inc,0.17988,255.442,295.77
BX UN Equity,Blackstone Inc,0.179673,699.14,107.94
TJX UN Equity,TJX Cos Inc/The,0.176003,1172.836,63.03
CSX UW Equity,CSX Corp,0.17595,2169.75,34.06
BDX UN Equity,Becton Dickinson and Co,0.174607,283.638,258.56
CME UW Equity,CME Group Inc,0.16922,358.241,198.4
PGR UN Equity,Progressive Corp/The,0.167857,583.193,120.89
WM UN Equity,Waste Management Inc,0.167829,414.479,170.07
PNC UN Equity,PNC Financial Services Group Inc/The,0.166375,412.367,169.46
NOC UN Equity,Northrop Grumman Corp,0.164733,146.236,473.14
LRCX UW Equity,Lam Research Corp,0.163099,138.406,494.95
MU UW Equity,Micron Technology Inc,0.162859,1114.058,61.4
TFC UN Equity,Truist Financial Corp,0.160922,1327.885,50.9
D UN Equity,Dominion Energy Inc,0.158425,810.09,82.14
CL UN Equity,Colgate-Palmolive Co,0.158184,826.979,80.34
REGN UW Equity,Regeneron Pharmaceuticals Inc,0.158143,103.544,641.49
ITW UN Equity,Illinois Tool Works Inc,0.15728,309.487,213.45
EQIX UW Equity,Equinix Inc,0.153269,90.738,709.46
USB UN Equity,US Bancorp,0.152774,1340.445,47.87
EW UN Equity,Edwards Lifesciences Corp,0.152552,616.928,103.86
EOG UN Equity,EOG Resources Inc,0.15159,584.181,108.99
FISV UW Equity,Fiserv Inc,0.150755,594.323,106.54
ATVI UW Equity,Activision Blizzard Inc,0.149447,775.798,80.91
AON UN Equity,Aon PLC,0.148944,210.125,297.72
EL UN Equity,Estee Lauder Cos Inc/The,0.148709,229.21,272.5
UBER UN Equity,Uber Technologies Inc,0.147389,1887.364,32.8
HUM UN Equity,Humana Inc,0.14611,126.272,486
NSC UN Equity,Norfolk Southern Corp,0.145666,237.535,257.57
F UN Equity,Ford Motor Co,0.145277,3936.671,15.5
FIS UN Equity,Fidelity National Information Services I,0.144892,609.299,99.88
MRNA UW Equity,Moderna Inc,0.142385,343.167,174.27
BSX UN Equity,Boston Scientific Corp,0.142055,1425.351,41.86
ETN UN Equity,Eaton Corp PLC,0.141761,398.698,149.34
APD UN Equity,Air Products and Chemicals Inc,0.139866,221.156,265.63
ICE UN Equity,Intercontinental Exchange Inc,0.13917,551.185,106.05
SHW UN Equity,Sherwin-Williams Co/The,0.138618,238.868,243.74
DG UN Equity,Dollar General Corp,0.138331,228.393,254.39
SNPS UW Equity,Synopsys Inc,0.136137,152.19,375.71
GD UN Equity,General Dynamics Corp,0.135002,246.042,230.46
KLAC UW Equity,KLA Corp,0.132899,149.047,374.51
FDX UN Equity,FedEx Corp,0.132702,239.78,232.45
GM UN Equity,General Motors Co,0.131246,1452.575,37.95
CNC UN Equity,Centene Corp,0.131111,580.768,94.82
PSA UN Equity,Public Storage,0.128568,156.075,345.99
CHTR UW Equity,Charter Communications Inc,0.127222,115.488,462.69
PXD UN Equity,Pioneer Natural Resources Co,0.124772,240.616,217.8
MCK UN Equity,McKesson Corp,0.124061,144.9,359.61
AEP UW Equity,American Electric Power Co Inc,0.123891,513.481,101.34
EMR UN Equity,Emerson Electric Co,0.12292,589.767,87.54
MCO UN Equity,Moody's Corp,0.122576,159.619,322.54
OXY UN Equity,Occidental Petroleum Corp,0.12229,817.113,62.86
SRE UN Equity,Sempra Energy,0.122284,314.173,163.48
MPC UN Equity,Marathon Petroleum Corp,0.122248,539.459,95.18
CDNS UW Equity,Cadence Design Systems Inc,0.120814,272.317,186.34
PANW UW Equity,Palo Alto Networks Inc,0.120178,96.728,521.84
SLB UN Equity,Schlumberger NV,0.117304,1410.915,34.92
ADSK UW Equity,Autodesk Inc,0.117086,217.293,226.32
HCA UN Equity,HCA Healthcare Inc,0.116224,225.247,216.72
ORLY UW Equity,O'Reilly Automotive Inc,0.111748,65.204,719.83
ADM UN Equity,Archer-Daniels-Midland Co,0.111312,559.244,83.6
GIS UN Equity,General Mills Inc,0.111094,601.456,77.58
MRVL UW Equity,Marvell Technology Inc,0.11091,847.129,54.99
ROP UN Equity,Roper Technologies Inc,0.110112,105.427,438.68
CMG UN Equity,Chipotle Mexican Grill Inc,0.109653,27.773,1658.29
SQ UN Equity,Block Inc,0.109281,516.655,88.84
APH UN Equity,Amphenol Corp,0.109021,584.582,78.33
KMB UN Equity,Kimberly-Clark Corp,0.108529,336.016,135.66
VLO UN Equity,Valero Energy Corp,0.108196,406.621,111.76
FCX UN Equity,Freeport-McMoRan Inc,0.107916,1443.508,31.4
MET UN Equity,MetLife Inc,0.107506,684.88,65.93
LHX UN Equity,L3Harris Technologies Inc,0.107369,192.161,234.68
IQV UN Equity,IQVIA Holdings Inc,0.107246,187.93,239.69
COF UN Equity,Capital One Financial Corp,0.106069,395.16,112.74
O UN Equity,Realty Income Corp,0.106058,600.916,74.13
EXC UW Equity,Exelon Corp,0.106044,978.258,45.53
ABNB UW Equity,Airbnb Inc,0.105683,373.858,118.73
MAR UW Equity,Marriott International Inc/MD,0.105204,274.045,161.24
AZO UN Equity,AutoZone Inc,0.104728,19.785,2223.27
CTVA UN Equity,Corteva Inc,0.103481,723.31,60.09
AIG UN Equity,American International Group Inc,0.103473,791.335,54.92
PAYX UW Equity,Paychex Inc,0.101834,321.978,132.84
ECL UN Equity,Ecolab Inc,0.100665,247.69,170.7
CRWD UW Equity,Crowdstrike Holdings Inc,0.100328,209.856,200.8
MSI UN Equity,Motorola Solutions Inc,0.098999,164.351,253
SYY UN Equity,Sysco Corp,0.098665,507.104,81.72
PSX UN Equity,Phillips 66,0.097929,480.343,85.63
XEL UW Equity,Xcel Energy Inc,0.09735,544.382,75.11
MSCI UN Equity,MSCI Inc,0.095931,78.678,512.12
WMB UN Equity,Williams Cos Inc/The,0.095585,1215.835,33.02
A UN Equity,Agilent Technologies Inc,0.094487,299.335,132.58
ENPH UQ Equity,Enphase Energy Inc,0.094316,130.632,303.25
TRV UN Equity,Travelers Cos Inc/The,0.093974,239.2,165.01
DVN UN Equity,Devon Energy Corp,0.093885,656.673,60.05
