Ticker,Name,Weight,Shares,Price
UMBF UW Equity,UMB Financial Corp,0.161163,43.675,94.73
AVNT UN Equity,Avient Corp,0.160951,90.295,45.76
GBT UW Equity,Global Blood Therapeutics Inc,0.160931,61.81,66.84
ORA UN Equity,Ormat Technologies Inc,0.1608,44.992,91.75
PNM UN Equity,PNM Resources Inc,0.160479,84.769,48.6
WING UW Equity,Wingstop Inc,0.160173,29.734,138.29
BCPC UW Equity,Balchem Corp,0.158066,31.603,128.4
WTS UN Equity,Watts Water Technologies Inc,0.156963,27.144,148.45
AIT UN Equity,Applied Industrial Technologies Inc,0.156839,37.97,106.04
ABG UN Equity,Asbury Automotive Group Inc,0.156498,21.972,182.85
DOC UN Equity,Physicians Realty Trust,0.156045,223.173,17.95
NARI UW Equity,Inari Medical Inc,0.155808,47.851,83.59
CBT UN Equity,Cabot Corp,0.155792,55.165,72.5
NSP UN Equity,Insperity Inc,0.155675,35.991,111.04
DOCN UN Equity,DigitalOcean Holdings Inc,0.155301,75.695,52.67
INDB UW Equity,Independent Bank Corp,0.154796,46.321,85.79
DEN UN Equity,Denbury Inc,0.153323,50.359,78.16
RDN UN Equity,Radian Group Inc,0.152255,171.885,22.74
MMS UN Equity,Maximus Inc,0.15211,60.929,64.09
BOX UN Equity,Box Inc,0.152035,128.051,30.48
ONTO UN Equity,Onto Innovation Inc,0.151675,49.176,79.18
GT UW Equity,Goodyear Tire & Rubber Co/The,0.15157,278.331,13.98
HGV UN Equity,Hilton Grand Vacations Inc,0.151213,88.953,43.64
RPD UQ Equity,Rapid7 Inc,0.15059,57.614,67.1
HASI UN Equity,Hannon Armstrong Sustainable Infrastruct,0.150514,84.532,45.71
ETRN UN Equity,Equitrans Midstream Corp,0.150277,407.809,9.46
BL UW Equity,Blackline Inc,0.149109,54.786,69.87
ATKR UN Equity,Atkore Inc,0.14881,42.66,89.55
PECO UW Equity,Phillips Edison & Co Inc,0.148008,113.422,33.5
ATI UN Equity,ATI Inc,0.147664,123.118,30.79
SR UN Equity,Spire Inc,0.147091,50.577,74.66
DNLI UW Equity,Denali Therapeutics Inc,0.146661,97.717,38.53
FIBK UW Equity,First Interstate BancSystem Inc,0.146621,92.939,40.5
BNL UN Equity,Broadstone Net Lease Inc,0.146361,167.889,22.38
MGY UN Equity,Magnolia Oil & Gas Corp,0.146214,165.501,22.68
MLI UN Equity,Mueller Industries Inc,0.146118,55.498,67.59
PTCT UW Equity,PTC Therapeutics Inc,0.145767,69.672,53.71
ZD UW Equity,Ziff Davis Inc,0.145612,45.316,82.49
ASO UW Equity,Academy Sports & Outdoors Inc,0.145454,83.201,44.88
HAE UN Equity,Haemonetics Corp,0.144412,50.371,73.6
SBRA UW Equity,Sabra Health Care REIT Inc,0.144123,228.954,16.16
SUM UN Equity,Summit Materials Inc,0.143194,117.633,31.25
ZWS UN Equity,Zurn Elkay Water Solutions Corp,0.143185,123.184,29.84
CBU UN Equity,Community Bank System Inc,0.142763,52.962,69.2
UCBI UW Equity,United Community Banks Inc/GA,0.142373,105.452,34.66
JBT UN Equity,John Bean Technologies Corp,0.141343,31.375,115.65
FLR UN Equity,Fluor Corp,0.141341,141.186,25.7
ALRM UW Equity,Alarm.com Holdings Inc,0.140968,47.705,75.86
FIX UN Equity,Comfort Systems USA Inc,0.140722,35.159,102.75
APG UN Equity,API Group Corp,0.14046,205.228,17.57
CVBF UW Equity,CVB Financial Corp,0.139833,134.096,26.77
