Ticker,Name,Weight,Shares,Price
BAX UN Equity,Baxter International Inc,0.023119,78.387,59.9
KBR UN Equity,KBR Inc,0.02279,89.633,51.64
G UN Equity,Genpact Ltd,0.022385,95.113,47.8
LVS UN Equity,Las Vegas Sands Corp,0.022219,123.129,36.65
RNG UN Equity,RingCentral Inc,0.021899,84.124,52.87
NTRA UW Equity,Natera Inc,0.021772,79.976,55.29
AJG UN Equity,Arthur J Gallagher & Co,0.021612,23.674,185.41
WH UN Equity,Wyndham Hotels & Resorts Inc,0.02126,62.678,68.89
EXP UN Equity,Eagle Materials Inc,0.020901,32.452,130.81
CSGP UW Equity,CoStar Group Inc,0.020636,56.085,74.73
TOST UN Equity,Toast Inc,0.020503,225.58,18.46
OTIS UN Equity,Otis Worldwide Corp,0.020271,51.526,79.9
PHM UN Equity,PulteGroup Inc,0.020044,92.247,44.13
ERIE UW Equity,Erie Indemnity Co,0.019863,18.512,217.92
CFLT UW Equity,Confluent Inc,0.019801,123.931,32.45
IAA UN Equity,IAA Inc,0.019777,110.712,36.28
AYX UN Equity,Alteryx Inc,0.019765,59.172,67.84
YUM UN Equity,Yum! Brands Inc,0.019285,32.864,119.18
CHRW UW Equity,CH Robinson Worldwide Inc,0.019172,33.683,115.6
CHH UN Equity,Choice Hotels International Inc,0.019114,33.581,115.6
MAT UW Equity,Mattel Inc,0.019038,169.064,22.87
YETI UN Equity,YETI Holdings Inc,0.018914,86.931,44.19
TXG UW Equity,10X Genomics Inc,0.018791,81.304,46.94
SITE UN Equity,SiteOne Landscape Supply Inc,0.018523,26.991,139.38
RYAN UN Equity,Ryan Specialty Holdings Inc,0.018267,82.061,45.21
BERY UN Equity,Berry Global Group Inc,0.018241,62.856,58.94
CTRA UN Equity,Coterra Energy Inc,0.018037,129.307,28.33
MKL UN Equity,Markel Corp,0.018033,3.053,1199.66
EEFT UW Equity,Euronet Worldwide Inc,0.017864,36.126,100.43
MRNA UW Equity,Moderna Inc,0.017667,20.59,174.27
WEN UW Equity,Wendy's Co/The,0.017588,172.23,20.74
NEWR UN Equity,New Relic Inc,0.01749,51.48,69
EBAY UW Equity,eBay Inc,0.017357,72.683,48.5
MP UN Equity,MP Materials Corp,0.01717,90.532,38.52
SAM UN Equity,Boston Beer Co Inc/The,0.016848,8.942,382.67
S UN Equity,SentinelOne Inc,0.016645,120.259,28.11
TNDM UQ Equity,Tandem Diabetes Care Inc,0.016255,59.528,55.46
CC UN Equity,Chemours Co/The,0.016179,92.873,35.38
PCOR UN Equity,Procore Technologies Inc,0.016164,50.181,65.42
CHPT UN Equity,ChargePoint Holdings Inc,0.016043,198.188,16.44
EXR UN Equity,Extra Space Storage Inc,0.016026,15.736,206.84
SPR UN Equity,Spirit AeroSystems Holdings Inc,0.015895,98.813,32.67
NVAX UW Equity,Novavax Inc,0.015858,77.871,41.36
COUP UW Equity,Coupa Software Inc,0.01585,41.742,77.12
NDSN UW Equity,Nordson Corp,0.015841,13.525,237.87
WIX UW Equity,Wix.com Ltd,0.015792,41.68,76.95
TTEK UW Equity,Tetra Tech Inc,0.015751,21.849,146.41
WCC UN Equity,WESCO International Inc,0.015679,23.516,135.41
W UN Equity,Wayfair Inc,0.015631,48.819,65.03
RE UN Equity,Everest Re Group Ltd,0.015615,11.999,264.31
OKE UN Equity,ONEOK Inc,0.015369,50.136,62.26
RNR UN Equity,RenaissanceRe Holdings Ltd,0.015315,23.758,130.92
WWE UN Equity,World Wrestling Entertainment Inc,0.01527,42.949,72.21
FBHS UN Equity,Fortune Brands Home & Security Inc,0.015025,44.954,67.88
HCA UN Equity,HCA Healthcare Inc,0.014662,13.74,216.72
PDCE UW Equity,PDC Energy Inc,0.014588,50.602,58.55
ALSN UN Equity,Allison Transmission Holdings Inc,0.01447,76.296,38.52
AES UN Equity,AES Corp/The,0.014416,119.848,24.43
SWCH UN Equity,Switch Inc,0.014256,85.409,33.9
MRVI UW Equity,Maravai LifeSciences Holdings Inc,0.014232,109.568,26.38
IEX UN Equity,IDEX Corp,0.0142,13.494,213.72
TOL UN Equity,Toll Brothers Inc,0.013693,56.801,48.96
PINS UN Equity,Pinterest Inc,0.013632,120.903,22.9
ROKU UW Equity,Roku Inc,0.013502,33.822,81.08
SCCO UN Equity,Southern Copper Corp,0.013337,56.081,48.3
RARE UW Equity,Ultragenyx Pharmaceutical Inc,0.01333,51.904,52.16
TNL UN Equity,Travel + Leisure Co,0.013313,60.125,44.97
NFE UW Equity,New Fortress Energy Inc,0.01331,48.076,56.23
FOUR UN Equity,Shift4 Payments Inc,0.01255,52.859,48.22
XYL UN Equity,Xylem Inc/NY,0.012382,25.027,100.48
CHE UN Equity,Chemed Corp,0.012379,5.188,484.62
FCNCA UW Equity,First Citizens BancShares Inc/NC,0.012104,3.002,818.88
VNT UN Equity,Vontier Corp,0.012063,100.036,24.49
AWI UN Equity,Armstrong World Industries Inc,0.011907,26.867,90.01
MOS UN Equity,Mosaic Co/The,0.011798,44.382,53.99
PFGC UN Equity,Performance Food Group Co,0.0117,46.888,50.68
EVA UN Equity,Enviva Inc,0.011336,30.539,75.39
FCN UN Equity,FTI Consulting Inc,0.011265,14.123,162
EA UW Equity,Electronic Arts Inc,0.011202,17.346,131.16
VSCO UN Equity,Victoria's Secret & Co,0.011143,58.999,38.36
LESL UW Equity,Leslie's Inc,0.010895,140.665,15.73
JWN UN Equity,Nordstrom Inc,0.010846,95.445,23.08
WU UN Equity,Western Union Co/The,0.01048,129.004,16.5
VRSN UW Equity,VeriSign Inc,0.010073,10.237,199.85
TDC UN Equity,Teradata Corp,0.009902,56.365,35.68
MLM UN Equity,Martin Marietta Materials Inc,0.009823,5.461,365.34
BF/A UN Equity,Brown-Forman Corp,0.009693,26.687,73.77
BWXT UN Equity,BWX Technologies Inc,0.009667,35.528,55.26
HII UN Equity,Huntington Ingalls Industries Inc,0.009657,8.639,227.02
RH UN Equity,RH,0.009564,6.49,299.29
DELL UN Equity,Dell Technologies Inc,0.009496,40.836,47.23
SHC UW Equity,Sotera Health Co,0.009478,98.613,19.52
AOS UN Equity,A O Smith Corp,0.009367,30.835,61.7
NTNX UW Equity,Nutanix Inc,0.009345,109.458,17.34
RSG UN Equity,Republic Services Inc,0.009271,13.173,142.94
KMX UN Equity,CarMax Inc,0.009144,18.567,100.02
CLR UN Equity,Continental Resources Inc/OK,0.009019,27.084,67.63
